iter	Passed	Remaining
0	1	1893
1	2	1371
2	4	1442
3	6	1629
4	9	1825
5	11	1926
6	13	1950
7	15	1929
8	16	1868
9	18	1836
10	20	1848
11	22	1822
12	23	1786
13	24	1748
14	26	1716
15	27	1708
16	29	1683
17	30	1661
18	31	1636
19	32	1615
20	34	1603
21	35	1600
22	37	1581
23	38	1575
24	40	1565
25	41	1564
26	43	1562
27	44	1559
28	46	1565
29	49	1592
30	51	1594
31	52	1583
32	53	1574
33	55	1566
34	56	1556
35	58	1553
36	59	1546
37	60	1541
38	62	1535
39	63	1526
40	64	1518
41	66	1510
42	67	1509
43	69	1502
44	70	1496
45	72	1494
46	74	1507
47	76	1510
48	77	1510
49	79	1516
50	81	1513
51	83	1518
52	84	1511
53	86	1506
54	87	1504
55	88	1498
56	90	1493
57	91	1488
58	93	1491
59	95	1489
60	96	1486
61	97	1481
62	99	1477
63	100	1476
64	102	1477
65	104	1475
66	105	1472
67	107	1472
68	108	1469
69	110	1468
70	111	1464
71	113	1468
72	115	1468
73	117	1466
74	118	1464
75	120	1468
76	122	1463
77	123	1461
78	125	1459
79	126	1458
80	128	1457
81	129	1454
82	132	1462
83	133	1458
84	135	1455
85	136	1450
86	137	1446
87	139	1443
88	140	1439
89	142	1436
90	143	1434
91	145	1431
92	146	1432
93	148	1431
94	149	1427
95	151	1422
96	152	1424
97	154	1420
98	155	1416
99	157	1413
100	158	1410
101	159	1407
102	162	1414
103	163	1412
104	165	1411
105	167	1410
106	168	1406
107	170	1405
108	171	1403
109	173	1401
110	174	1397
111	176	1397
112	177	1396
113	179	1394
114	180	1391
115	182	1388
116	183	1385
117	185	1387
118	186	1383
119	188	1383
120	190	1381
121	191	1380
122	193	1378
123	195	1380
124	196	1377
125	198	1378
126	200	1377
127	201	1373
128	203	1373
129	205	1372
130	206	1372
131	208	1369
132	209	1368
133	212	1372
134	214	1375
135	217	1383
136	219	1380
137	220	1378
138	222	1381
139	225	1382
140	226	1382
141	228	1381
142	230	1381
143	232	1379
144	233	1375
145	234	1373
146	236	1370
147	238	1370
148	239	1367
149	240	1364
150	242	1361
151	243	1360
152	245	1358
153	246	1355
154	248	1352
155	249	1349
156	250	1347
157	252	1347
158	254	1344
159	255	1341
160	257	1340
161	258	1336
162	259	1334
163	261	1332
164	263	1333
165	265	1331
166	266	1330
167	268	1329
168	270	1328
169	271	1326
170	273	1323
171	274	1321
172	275	1319
173	277	1316
174	278	1313
175	280	1311
176	281	1308
177	282	1305
178	284	1302
179	285	1300
180	286	1297
181	288	1294
182	289	1294
183	291	1292
184	292	1290
185	294	1288
186	296	1288
187	297	1286
188	299	1284
189	300	1281
190	302	1279
191	303	1277
192	305	1275
193	306	1273
194	307	1270
195	309	1269
196	310	1267
197	312	1265
198	314	1264
199	315	1263
200	317	1262
201	319	1261
202	320	1260
203	322	1260
204	324	1258
205	325	1255
206	327	1253
207	328	1251
208	329	1248
209	331	1246
210	332	1244
211	334	1241
212	336	1241
